epoch,train_loss,val_loss,train_acc,val_acc,precision,recall,f1,learning_rate,epoch_time
1,0.23287296480119649,0.22590551877650208,0.90377,0.9074,0.9096942880128721,0.9046,0.907139991977537,9.9222914057732e-06,660.3496417999268
2,0.19954733331988656,0.20512288811203008,0.92035,0.9177,0.9407047900400929,0.8916,0.91549440394291,7.94340081859584e-06,565.1795346736908
3,0.18408365755253164,0.18844588240162252,0.92588,0.9241,0.9402117500518995,0.9058,0.9226851380258735,4.3200468269242675e-06,564.7261004447937
4,0.17384427235302677,0.18756357074593202,0.93082,0.92465,0.9469529523208083,0.8997,0.922721911696836,1.0739754998323509e-06,568.6440634727478
5,0.1704442384232715,0.19372149596151453,0.93242,0.92075,0.9482262703739214,0.8901,0.9182441842471759,9.985683358708147e-06,569.7769479751587
6,0.16480633198395037,0.17044845580483398,0.93442,0.93205,0.9462865406466274,0.9161,0.9309486306590113,9.486263792283804e-06,568.9357953071594
7,0.15333389605723813,0.1795737395247522,0.94021,0.92635,0.9626695604991861,0.8871,0.9233411397345824,8.294856620180928e-06,567.3712725639343
8,0.1472520516757506,0.15913143755790715,0.94292,0.9369,0.9509702725020645,0.9213,0.9359000406338888,6.654988463416402e-06,566.6996669769287
9,0.14004388262809123,0.17974803045082588,0.94617,0.92705,0.9665683382497542,0.8847,0.9238239440296561,4.700884991879283e-06,571.3600904941559
10,0.13875187695698524,0.16581891042689165,0.9467,0.9332,0.9602634934126647,0.9038,0.9311765917988873,2.8621490790868365e-06,578.4101114273071
11,0.13495971032693,0.15669519240006852,0.94778,0.93775,0.9623956902925953,0.9111,0.9360456156572662,1.3412016545324697e-06,570.8277089595795
12,0.13186062448756367,0.1504255615638944,0.94929,0.9403,0.9620146904512067,0.9168,0.938863287250384,3.7293910903228106e-07,577.699315071106
